player,date,headline,fantasy_impact,category
Carson Steele,"Wed, Aug 27th 2:40pm EDT",The Chiefs have signed RB Carson Steele to their practice squad. (Source: Matt Derrick on Twitter ),"Fantasy Impact: Steele went unclaimed on waivers but will remain in the organization. With the signing of Clyde Edwards-Helaire and Steele, the Chiefs ensure they have depth in the organization at running back.",
Clyde Edwards-Helaire,"Wed, Aug 27th 2:39pm EDT",The Chiefs have signed RB Clyde Edwards-Helaire to their practice squad. (Source: Matt Derrick on Twitter ),Fantasy Impact: CEH was cut by the Saints on Tuesday and will return to the Chiefs after spending the 2024 season with the Saints. He will provide organizational depth at running back for Kansas City.,Category: Transactions
Chris Oladokun,"Wed, Aug 27th 2:37pm EDT",The Chiefs have signed QB Chris Oladokun to their practice squad. (Source: Matt Derrick on Twitter ),Fantasy Impact: Oladokun was unclaimed on the waiver wire and will head back to the Chiefs. He will provide roster depth behind Patrick Mahomes and Gardner Minshew.,Category: Transactions
Dalevon Campbell,"Wed, Aug 27th 2:25pm EDT",The Carolina Panthers have enlisted the services of wide receiver Dalevon Campbell. He was claimed off waivers from the Los Angeles Chargers. (Source: Tom Pelissero on X),Fantasy Impact:,Category: Transactions
Trey Palmer,"Wed, Aug 27th 2:18pm EDT",The New Orleans Saints won a waiver claim for Trey Palmer and will effectively end his time with the Tampa Bay Buccaneers. He accumulated 51 receptions for 557 yards and four touchdowns during his time in the Sunshine State. (Source: Tom Pelissero on X),Fantasy Impact:,Category: Transactions
Kimani Vidal,"Wed, Aug 27th 2:06pm EDT",The Los Angeles Chargers are re-signing running back Kimani Vidal on their practice squad after he was waived ahead of the roster cutdown deadline. (Source: Matt Zenitz on Twitter),"Fantasy Impact: Vidal was a rookie in 2024 and did not emerge as the sleeper option he was billed to be. He did find some success with over 200 scrimmage yards and one touchdown, but he played 26% of the offensive snaps over 10 games while being a non-factor on special teams. He was inactive for games last season and will be on the practice squad in 2025 with a deeper rotation in LA.",Category: Transactions
Brett Rypien,"Wed, Aug 27th 2:06pm EDT",Brett Rypien is signing a deal with the Bengals to join their practice squad. (Source: Ben Baby on Twitter),"Fantasy Impact: Rypien spent much of the offseason with the Vikings, but he wasn't able to earn a roster spot and has ultimately been cut. He now joins the Bengals and will serve as their QB3 from the practice squad.",Category: Transactions
Javon Baker,"Wed, Aug 27th 2:05pm EDT",The Patriots are planning on releasing WR Javon Baker. (Source: Mike Reiss on Twitter ),Fantasy Impact: Baker was likely the last receiver on the depth chart based on his performance last season and seeing most of his time with the backups during the preseason. He could return on the practice squad should he clear waivers.,Category: Transactions
Frank Gore Jr.,"Wed, Aug 27th 2:04pm EDT",Frank Gore Jr. is signing with the Bills to join their practice squad. (Source: Tom Pelissero on Twitter),"Fantasy Impact: The Bills are bringing back Gore onto their practice squad after releasing him recently. Buffalo has solid depth in their backfield right now, so the path isn't clear for him to earn a spot on the active roster.",Category: Transactions
DeeJay Dallas,"Wed, Aug 27th 2:03pm EDT",The Carolina Panthers are signing running back DeeJay Dallas to their practice squad after he was released by the Arizona Cardinals. (Source: Mike Kaye on Twitter),"Fantasy Impact: Dallas became the first player to return a kickoff for a touchdown under the new rule set and has provided value as a returner and running back for Arizona and Seattle. The Panthers already have Chuba Hubbard, Rico Dowdle, and Trevor Etienne, so Dallas may not be able to crack the rotation, but he could fit in if they face injuries.",Category: Transactions
Xazavian Valladay,"Wed, Aug 27th 2:02pm EDT",Xazavian Valladay will be returning to the Vikings as a member of their practice squad. (Source: Mike Garafolo on Twitter),"Fantasy Impact: The Vikings recently cut Valladay as part of their roster cutdown ahead of Week 1, but he went unclaimed on waivers and will be rejoining the team on the practice squad. Fantasy managers shouldn't expect him to have much of an impact this season.",Category: Transactions
Damien Martinez,"Wed, Aug 27th 2:01pm EDT",The Seahawks have signed RB Damien Martinez to their practice squad. (Source: Brady Henderson on Twitter),"Fantasy Impact: The Seahawks currently have a crowded backfield, but will return to the practice squad to provide the team with depth. He finished the preseason with 84 rushing yards on 24 carries.",Category: Transactions
Jeff Wilson Jr.,"Wed, Aug 27th 2:00pm EDT",Jeff Wilson Jr. is signing a deal to join the Dolphins practice squad. (Source: Adam Schefter on Twitter),"Fantasy Impact: The veteran running back has found a home for the start of the regular season, joining Miami over a week before the 2025 NFL season kicks off. Miami's running back room is currently thin and injury riddled, so the veteran could find himself on the active roster at several points throughout the season.",Category: Transactions
Tommy DeVito,"Wed, Aug 27th 1:59pm EDT","Tommy ""Cutlets"" Devito has been claimed by the New England Patriots after being let go by the New York Giants. (Source: Tom Pelissero on X)","Fantasy Impact: With Drake Maye starting and Joshua Dobbs backing him up, Devito will be third in line to take snaps under center for the Patriots in the 2025/26 NFL season. He has compiled 1358 passing yards, eight touchdowns and three interceptions over his career to date.",Category: Transactions
Xavier Restrepo,"Wed, Aug 27th 1:58pm EDT",Xavier Restrepo will be returning to the Titans as a member of their practice squad. (Source: Adam Schefter on Twitter),"Fantasy Impact: The Titans did not give Restrepo a spot on their active roster, but they like him and will be bringing him back to the team as a member of their practice squad. He isn't expected to be fantasy relevant at all in 2025.",Category: Transactions
Erik Ezukanma,"Wed, Aug 27th 1:56pm EDT",Erik Ezukanma is signing a deal with the Jaguars to join their practice squad. (Source: Tom Pelissero on Twitter),"Fantasy Impact: Ezukanma will be on Jacksonville's practice squad to start the season. It's unlikely that he will make a notable impact at any point, barring injuries to several of the Jaguars' key pass catchers.",Category: Transactions
Hendon Hooker,"Wed, Aug 27th 1:47pm EDT",The Carolina Panthers are bringing in quarterback Hendon Hooker on their practice squad. (Source: Mike Kaye on Twitter),"Fantasy Impact: Hooker is entering his third season in the NFL after being a Round 3 pick following a standout senior season at Tennessee. Unfortunately, an injury kept him out during his rookie year, and he struggled in the preseason. The Volunteers' offense is not necessarily a pro-style offense and Hooker may need to continue to develop to be a backup QB, but he is also 27 years old. He can learn and develop behind veteran Andy Dalton while backing up Bryce Young.",Category: Transactions
Jake Haener,"Wed, Aug 27th 1:40pm EDT","The New Orleans Saints are bringing back quarterback Jake Haener on their practice squad, who they drafted in the fourth round of the 2023 NFL Draft. (Source: Nick Underhill on Twitter)","Fantasy Impact: Haener has started one game for the Saints in two seasons, playing behind QB Spencer Rattler following Derek Carr's injury in 2024. Haener was waived after losing the QB battle this season to Rattler and rookie Tyler Shough, but he is returning as their QB3 on the practice squad.",Category: Transactions
Raheim Sanders,"Wed, Aug 27th 1:38pm EDT",Raheim Sanders has been claimed off waivers by the Cleveland Browns (Source: Tom Pelissero on X),"Fantasy Impact: Just a day after he was released by the Los Angeles Chargers, the Cleveland Browns have picked up the running back. The RB situation in Cleveland is fluid due to rookie Quinshon Judkins off-field issues. Dylan Sampson's name has been coming up as decent second option behind Jerome Ford so Sanders will be the perceived third fiddle for now.",Category: Transactions
Easton Stick,"Wed, Aug 27th 1:34pm EDT",The Atlanta Falcons are re-signing quarterback Easton Stick to their practice squad after waiving him ahead of the roster cutdown deadline. (Source: Mike Garafolo on Twitter),"Fantasy Impact: Stick had some solid preseason performances, receiving most of the team's reps with QB Michael Penix Jr. and Kirk Cousins sidelined. The former North Dakota State product was rumored to land in New Orleans, but he returns with Jake Haener re-signing with the Saints. He could be the team's QB3.",Category: Transactions
Tyler Huntley,"Wed, Aug 27th 1:27pm EDT","The Baltimore Ravens are bringing back quarterback Tyler Huntley on their practice squad, who had previously made a Pro Bowl with the team. (Source: Adam Schefter on Twitter)","Fantasy Impact: Huntle spent some time with other organizations, like Cleveland and Miami, but found his way back to Baltimore, where he started his career as an undrafted free agent. Huntley started nine games for the Ravens over four seasons.",Category: Transactions
Kyle McCord,"Wed, Aug 27th 1:20pm EDT",The Philadelphia Eagles are bringing back rookie quarterback Kyle McCord to their practice squad after he was waived ahead of the roster cutdown deadline. (Source: Tom Pelissero on Twitter),"Fantasy Impact: McCord had a successful final season at Syracuse after transferring from Ohio State, leading the nation in several passing statistics. He did struggle during the preseason, which put him behind Tanner McKee and recent trade acquisition Sam Howell in the pecking order, but he could develop into a long-term backup.",Category: Transactions
Sam Hartman,"Wed, Aug 27th 1:17pm EDT","The Washington Commanders and Sam Hartman are reuniting after the former Notre Dame quarterback was waived ahead of roster cutdown day, joining the team's practice squad. (Source: Tom Pelissero on Twitter)","Fantasy Impact: Hartman's release was procedural, as he had already been cut and re-signed by Washington in the past. He is behind veterans Marcus Mariota and Josh Johnson, who both made the initial 53-man roster.",Category: Transactions
Mecole Hardman Jr.,"Wed, Aug 27th 1:15pm EDT",Mecole Hardman Jr. added to practice squad by the Green Bay Packers (Source: Jordan Schultz on X),"Fantasy Impact: Hardman didn't make the starting roster for Green Bay as he was cut yesterday but they seem to think he's worthy of sticking around with the organization. Considering how oft-injured the Packers receivers are, it may be a prudent move to have a wide receiver with 178 receptions and just over 2300 career yards waiting behind glass in case of emergency.",
Lil'Jordan Humphrey,"Wed, Aug 27th 1:05pm EDT","As per Adam Schefter, Lil'Jordan Humphrey has been signed to the New York Giants practice squad. (Source: Adam Schefter on X)","Fantasy Impact: Just one day after being released by the Giants, he was signed to the practice squad. Humphrey has amassed 62 receptions and 770 yards over his 58 game career.",
Marquez Valdes-Scantling,"Wed, Aug 27th 12:31pm EDT",Veteran wide receiver Marquez Valdes-Scantling is signing with the San Francisco 49ers. (Source: Tom Pelissero on Twitter),"Fantasy Impact: Valdes-Scantling was released by the Seattle Seahawks, setting him up to find a new home. As a veteran, he was not subject to the league's waiver system and reportedly chose the Niners over the Pittsburgh Steelers, who have his old quarterback, Aaron Rodgers. SF needs healthy wide receiver help, and Valdes-Scantling brings a field-stretching element to any offense.",Category: Transactions
Kendrick Bourne,"Wed, Aug 27th 12:24pm EDT","The New England Patriots are releasing Kendrick Bourne, who had been a subject of trade rumors and dealt with injuries over the offseason. (Source: Tom Pelissero on Twitter)","Fantasy Impact: Bourne missed time during training camp with a foot injury but has been a productive receiver in the NFL. He had 800 yards in 2021 and has 400+ yards in five of his eight seasons. Minnesota reportedly had tried to trade for Bourne before acquiring Adam Thielen, but the San Francisco 49ers could emerge as a landing spot, according to NFL Network's Mike Garafolo.",Category: Transactions
Kyle Hamilton,"Wed, Aug 27th 12:15pm EDT",The Baltimore Ravens and safety Kyle Hamilton have reportedly come to terms on a four-year contract extension worth $100.4 million. (Source: Jordan Schultz on Twitter),"Fantasy Impact: Hamilton, arguably the best safety in the league, has been a crucial part of Baltimore's defense. He has shown versatility with seven sacks, five picks, 18 tackles for loss, and four forced fumbles, proving that he can impact every facet of the game. He has an expert consensus ranking as the DB2 in IDP leagues, according to FantasyPros' data.",Category: Transactions
Rashee Rice,"Wed, Aug 27th 12:12pm EDT",Kansas City Chiefs wide receiver Rashee Rice is accepting a six-game suspension that will take effect in Week 1. (Source: Tom Pelissero on Twitter),"Fantasy Impact: Rice will be eligible to return to the field after Week 7, after facing a suspension for his 2024 multi-car accident in Dallas. The arbitration for this suspension had dragged on for a while, but there is finally a definitive timeline. While this makes Rice a tricky pick in fantasy, WR Xavier Worthy and TE Travis Kelce could see extended usage in his absence to start the season, with the ability to occupy similar parts of the field. Rookie Jalen Royals could be involved as well.",Category: Transactions
Daniel Thomas,"Wed, Aug 27th 11:37am EDT",The Lions signed S Daniel Thomas. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Thomas quickly finds a new home after he was released by the Jaguars. He'll add depth in the secondary for Detroit.,Category: Transactions
Jordan Poyer,"Wed, Aug 27th 11:36am EDT",The Bills signed S Jordan Poyer. (Source: Jordan Schultz on Twitter),Fantasy Impact: Poyer returns for another stint in Buffalo. He remains in the AFC East after playing for the Dolphins last season. He'll add depth in the secondary for Buffalo.,Category: Transactions
Joe Mixon,"Wed, Aug 27th 11:34am EDT",Texans GM Nick Caserio told reporters Joe Mixon will be re-evaluated after four weeks. (Source: Jonathan M Alexander on Twitter),"Fantasy Impact: Mixon will miss at least the first four weeks of the season after being placed on the NFI list. Well see, well take it one day at a time,"" Caserio said on his status. Nick Chubb, Woody Marks and Dameon Pierce will enter the season leading the Texans backfield.",Category: Injury Updates
Tim Patrick,"Wed, Aug 27th 11:18am EDT",Tim Patrick has been traded from the Detroit Lions to the Jacksonville Jaguars in exchange for a sixth-round pick. (Source: Tom Pelissero on Twitter),Fantasy Impact: Patrick has been a steady contributor throughout his NFL career and will now find himself in Jacksonville with Trevor Lawrence and Co. after being acquired for a sixth-round pick on Wednesday. He isn't expected to play a prominent role but should be a valuable depth piece for the team.,Category: Transactions
Adam Thielen,"Wed, Aug 27th 10:13am EDT",Adam Thielen has been traded to the Vikings along with a 2026 seventh-round pick and 2027 fifth-round pick from the Panthers for a 2026 fifth-round pick and a 2027 fourth-round pick. (Source: Adam Schefter via X),"Fantasy Impact: Thielen operated as the Panthers' WR1 for the past two seasons but with the additions of Tet McMillan and Xavier Legette and the rise of Jalen Coker, Carolina could afford to move on from the steady wideout and go with a youth movement. Returning home, Thielen should give JJ McCarthy a nice secondary target at receiver behind Justin Jefferson while Jordan Addison is out with a suspension.",Category: Transactions
Maxwell Hairston,"Wed, Aug 27th 5:31am EDT",The Bills placed rookie CB Maxwell Hairston on injured reserve. (Source: Tom Pelissero on Twitter),Fantasy Impact: Hairston will miss at least the first four weeks of the season.,Category: Injury Updates
Jalen Graham,"Wed, Aug 27th 5:28am EDT",The 49ers waived LB Jalen Graham. (Source: Eric Branch on Twitter),Fantasy Impact: Graham was unable to earn a spot on the 49ers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Will Howard,"Wed, Aug 27th 5:27am EDT",The Steelers are expected to place QB Will Howard on injured reserve. (Source: Gerry Dulac on Twitter),Fantasy Impact: Howard continues to work his way back from a hand injury. He will miss at least the first four weeks during the season.,Category: Injury Updates
Devin Leary,"Wed, Aug 27th 5:22am EDT",The Ravens released QB Devin Leary. (Source: Jeff Zrebiec on Twitter),Fantasy Impact: Leary was unable to earn a spot on the Ravens 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
David Sharpe,"Wed, Aug 27th 5:21am EDT",The Chargers released veteran OL David Sharpe. (Source: Ian Rapoport on Twitter),Fantasy Impact: Sharpe was unable to earn a spot on the Chargers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
C.J. Henderson,"Wed, Aug 27th 5:18am EDT",The Falcons released CB C.J. Henderson. (Source: Jordan Schultz on Twitter),Fantasy Impact: Henderson was unable to earn a spot on the Falcons 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Terique Owens,"Wed, Aug 27th 5:16am EDT",The 49ers waived WR Terique Owens. (Source: Matt Maiocco on Twitter),Fantasy Impact: Owens was unable to earn a spot on the 49ers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Rasul Douglas,"Wed, Aug 27th 5:15am EDT",The Dolphins signed Rasul Douglas to a $3 million deal. (Source: Jordan Schultz on Twitter),Fantasy Impact: Douglas will add more experience in the secondary for Miami.,Category: Transactions
Michael Jerrell,"Wed, Aug 27th 5:14am EDT",The Seahawks traded OT Michael Jerrell to the Falcons for a conditional 2027 seventh-round pick. (Source: Tom Pelissero on Twitter),Fantasy Impact: Jerrell will add depth on the offensive line for Atlanta.,Category: Transactions
Ricky White III,"Wed, Aug 27th 5:07am EDT",The Seahawks waived WR Ricky White III. (Source: Brady Henderson on Twitter),Fantasy Impact: White was a seventh round pick of Seattle this year. He'll be a practice squad candidate if he clears waivers.,Category: Transactions
Beanie Bishop Jr.,"Wed, Aug 27th 5:05am EDT",The Steelers released DB Beanie Bishop Jr. (Source: Tom Pelissero on Twitter),Fantasy Impact: Bishop was unable to earn a spot on the Steelers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Thomas Morstead,"Wed, Aug 27th 5:03am EDT",The 49ers released P Thomas Morstead. (Source: Tom Pelissero on Twitter),Fantasy Impact: Morstead was unable to earn a spot on the 49ers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Malik Turner,"Wed, Aug 27th 5:02am EDT",The 49ers released WR Malik Turner. (Source: Tom Pelissero on Twitter),Fantasy Impact: Turner was unable to earn a spot on the 49ers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Isaiah Hodgins,"Wed, Aug 27th 5:01am EDT",The 49ers released WR Isaiah Hodgins. (Source: Tom Pelissero on Twitter),Fantasy Impact: Hodgins was unable to earn a spot on the 49ers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Robbie Chosen,"Wed, Aug 27th 4:59am EDT",The 49ers released WR Robbie Chosen. (Source: Tom Pelissero on Twitter),Fantasy Impact: Chosen was unable to earn a spot on the 49ers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Sincere McCormick,"Wed, Aug 27th 4:58am EDT",The Raiders released RB Sincere McCormick. (Source: Tashan Reed on Twitter),Fantasy Impact: McCormick was unable to earn a spot on the Raiders 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Britain Covey,"Wed, Aug 27th 4:51am EDT",The Rams released WR Britain Covey. (Source: Ari Meirov on Twitter),Fantasy Impact: Covey was unable to earn a spot on the Rams 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
A.J. Green III,"Wed, Aug 27th 4:49am EDT",The Rams released CB A.J. Green. (Source: Ari Meirov on Twitter),Fantasy Impact: Green was unable to earn a spot on the Rams 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Josh Tupou,"Wed, Aug 27th 4:46am EDT",The Colts released DT Josh Tupou. (Source: Adam Schefter on Twitter),Fantasy Impact: Tupou was unable to earn a spot on the Colts 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Laquon Treadwell,"Wed, Aug 27th 4:45am EDT",The Colts released WR Laquon Treadwell. (Source: Adam Schefter on Twitter),Fantasy Impact: Treadwell was unable to earn a spot on the Colts 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Duke Shelley,"Wed, Aug 27th 4:44am EDT",The Colts released DB Duke Shelley. (Source: Adam Schefter on Twitter),Fantasy Impact: Shelley was unable to earn a spot on the Colts 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Sean McKeon,"Wed, Aug 27th 4:43am EDT",The Colts released TE Sean McKeon. (Source: Adam Schefter on Twitter),Fantasy Impact: McKeon was unable to earn a spot on the Colts 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Chris Lammons,"Wed, Aug 27th 4:42am EDT",The Colts released CB Chris Lammons. (Source: Adam Schefter on Twitter),Fantasy Impact: Lammons was unable to earn a spot on the Colts 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Khalil Herbert,"Wed, Aug 27th 4:41am EDT",The Colts released RB Khalil Herbert. (Source: Adam Schefter on Twitter),Fantasy Impact: Herbert was unable to earn a spot on the Colts 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Harrison Bryant,"Wed, Aug 27th 4:39am EDT",The Texans released TE Harrison Bryant. (Source: Adam Schefter on Twitter),Fantasy Impact: Bryant was traded to Houston last week. He'll likely seek a depth role with another team.,Category: Transactions
Bo Melton,"Wed, Aug 27th 4:35am EDT",Bo Melton officially made the Packers 53-man roster as a corner back. (Source: Mike Clay on Twitter),Fantasy Impact: Melton officially made the move this offseason from wide receiver to defensive back. He'll hold a depth role in the Packers secondary.,Category: Transactions
Deshaun Watson,"Wed, Aug 27th 4:31am EDT",The Browns placed QB Deshaun Watson on the PUP list. (Source: Adam Schefter on Twitter),Fantasy Impact: Watson remains without a clear timetable to return.,Category: Injury Updates
Tank Dell,"Wed, Aug 27th 4:29am EDT",The Texans placed Tank Dell on the PUP list. (Source: Tom Pelissero on Twitter),Fantasy Impact: Dell is expected to miss the entire season.,Category: Injury Updates
Isaiah Likely,"Wed, Aug 27th 4:22am EDT",The Ravens did not place TE Isaiah Likely on injured reserve. (Source: Jamison Hensley on Twitter),Fantasy Impact: Likely suffered a small fracture in his foot in late July and has yet to return to practice. He'll be eligible to pay to begin the season.,Category: Injury Updates
Michael Jordan,"Wed, Aug 27th 4:20am EDT",The Buccaneers released Michael Jordan. (Source: Ari Meirov on Twitter),Fantasy Impact: Jordan was unable to earn a spot on the Buccaneers 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Tommy Mellott,"Wed, Aug 27th 4:18am EDT",The Raiders waived QB Tommy Mellott. (Source: Tom Pelissero on Twitter),Fantasy Impact: Mellott was unable to earn a spot on the Raiders 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Cam Miller,"Wed, Aug 27th 4:18am EDT",The Raiders waived QB Cam Miller. (Source: Tom Pelissero on Twitter),Fantasy Impact: Miller was able to show flashes in the preseason. He was unable to earn a spot on the Raiders 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Johnathan Hankins,"Wed, Aug 27th 4:16am EDT",The Seahawks placed Johnathan Hankins on the non-football injury list. (Source: Tom Pelissero on Twitter),Fantasy Impact: Hankins had been sidelined during training camp. He remains without a timetable to return.,Category: Injury Updates
Thomas Graham Jr.,"Wed, Aug 27th 4:14am EDT",The Ravens released DB Thomas Graham Jr.,Fantasy Impact: Graham signed with Baltimore last week. He was unable to earn a spot on the Ravens 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Brent Urban,"Wed, Aug 27th 4:13am EDT",The Ravens released DE Brent Urban. (Source: Tom Pelissero on Twitter),Fantasy Impact: Urban was unable to earn a spot on the Ravens 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Keith Kirkwood,"Wed, Aug 27th 4:12am EDT",The Ravens released WR Keith Kirkwood. (Source: Tom Pelissero on Twitter),Fantasy Impact: Kirkwood was unable to earn a spot on the Ravens 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Anthony Miller,"Wed, Aug 27th 4:11am EDT",The Ravens released WR Anthony Miller. (Source: Tom Pelissero on Twitter),Fantasy Impact: Miller was unable to earn a spot on the Ravens 53-man roster. He'll likely look to land an opportunity on a practice squad.,Category: Transactions
Tanner McKee,"Sun, Aug 31st 4:07pm EDT",Tanner McKee is still not practicing with the Eagles. (Source: Zach Berman on Twitter),Fantasy Impact: McKee is continuing to work his way back from a fractured thumb. He is unlikely to be available for the start of the season. Sam Howell will begin the year as the backup for Jalen Hurts.,Category: Injury Updates
Adam Thielen,"Sat, Aug 30th 12:26pm EDT",The Minnesota Vikings and veteran wide receiver Adam Thielen have agreed to terms on a revised contract that reduces his salary by $2 million and removes $4 million in potential incentives. (Source: Tom Pelissero on Twitter),"Fantasy Impact: This move helps the Vikings' cap situation, offering further flexibility to a team with which Thielen is very familiar. The veteran wideout grew up in Minnesota and spent nine seasons with the Vikings, catching 534 passes for 6,682 yards and 55 touchdowns. He should be Minnesota's WR2 while Jordan Addison serves his three-game suspension.",Category: Transactions
Hunter Renfrow,"Sat, Aug 30th 12:18pm EDT","The Carolina Panthers are bringing back Hunter Renfrow, who spent the offseason with the team before getting cut ahead of the roster deadline. (Source: Carolina Panthers on Twitter)","Fantasy Impact: With Jalen Coker (quad) out with an injury, spending the first four games on injured reserve, and Adam Thielen in Minnesota, there is a new opportunity for Renfrow in the slot that wasn't there a week ago. He has not caught a pass in an NFL game since 2023, but he could potentially provide a safety option for an ascending Bryce Young. His value as a fantasy asset is unclear.",Category: Transactions
Jalen Coker,"Sat, Aug 30th 12:12pm EDT","Carolina Panthers wide receiver Jalen Coker suffered a quad injury in practice on Thursday, Aug. 28, and will be placed on injured reserve (IR). He will miss at least the first four games of the season but is expected to be out for 4-6 weeks. (Source: Cameron Wolfe on Twitter)","Fantasy Impact: Coker was expected to be the team's starting slot receiver, making this injury an unfortunate one for the Year 2 undrafted wideout. The Panthers are bringing back WR Hunter Renfrow in his place, but Coker's season will not start until Carolina's matchup with Miami while he's on IR.","Category: Injury Updates, Transactions"
Jabrill Peppers,"Sat, Aug 30th 3:39am EDT",The Patriots released veteran safety Jabrill Peppers. (Source: Adam Schefter on Twitter),Fantasy Impact: It is a bit of a shocking move. Peppers still has $4.32 million guaranteed remaining on his contract for this season. He should draw plenty of interest in free agency.,Category: Transactions
Trevor Penning,"Sat, Aug 30th 3:38am EDT",Saints OL Trevor Penning could be ready for the start of the season. (Source: Around the NFL on Twitter),Fantasy Impact: Penning is reportedly out of his walking boot. He'll have another week to get fully healthy.,Category: Injury Updates
Harrison Smith,"Sat, Aug 30th 3:36am EDT",Harrison Smith will be evaluated weekly with a personal health matter. (Source: Ben Goessling on Twitter),Fantasy Impact: Smith has been out since August 11. He remains on the active roster.,Category: Injury Updates
John Johnson III,"Sat, Aug 30th 3:34am EDT",The NFL has suspended DB John Johnson III for the first three weeks of the 2025 NFL season. (Source: Tom Pelissero on Twitter),Fantasy Impact: Johnson remains a free agent. He'll be ineligible to play the first three games of the season.,Category: Transactions
Caelen Carson,"Sat, Aug 30th 3:32am EDT",The Cowboys placed DB Caelen Carson on injured reserve. (Source: Jon Machota on Twitter),Fantasy Impact: Carson suffered a knee injury earlier in training camp. He'll be sidelined to start the season.,Category: Injury Updates
Phil Mafah,"Sat, Aug 30th 3:30am EDT",The Cowboys placed RB Phil Mafah on injured reserve. (Source: Jon Machota on Twitter),Fantasy Impact: Mafah was drafted by Dallas. He won't be ready for the start of the season.,Category: Injury Updates
Hakeem Adeniji,"Sat, Aug 30th 3:29am EDT",The Cowboys added OT Hakeem Adeniji to their active roster. (Source: Jon Machota on Twitter),Fantasy Impact: Adeniji will add depth on the offensive line for Dallas heading into the season.,Category: Transactions
C.J. Goodwin,"Sat, Aug 30th 3:28am EDT",The Cowboys signed DB C.J. Goodwin to their active roster. (Source: Jon Machota on Twitter),Fantasy Impact: Dallas placed placed CB Caelen Carson on IR as the corresponding move. Goodwin will add depth in the secondary for Dallas.,Category: Transactions
Yetur Gross-Matos,"Sat, Aug 30th 3:25am EDT",49ers coach Kyle Shanahan said the team is hopeful Yetur Gross-Matos will be ready for the season opener against the Seahawks. (Source: Matt Barrows on Twitter),Fantasy Impact: Gross-Matos has been sidelined in training camp with a knee injury. He'll have another week to get fully healthy.,Category: Injury Updates
Dominick Puni,"Sat, Aug 30th 3:23am EDT",49ers coach Kyle Shanahan said the team is optimistic Dominick Puni will be ready to go for Week 1. (Source: Matt Barrows on Twitter),Fantasy Impact: Shanahan added that Puni has been trending in a positive direction. He'll have the next week to get fully healthy.,Category: Injury Updates
De'Von Achane,"Mon, Sep 1st 11:10am EDT",De'Von Achane is returning to practice on Monday and is on track to play Sunday against the Colts. (Source: Adam Schefter on Twitter),Fantasy Impact: This had been the expectation per reports in recent weeks. Achane should be good to go to start the season.,Category: Injury Updates
Micah Robinson,"Mon, Sep 1st 2:58am EDT",The Packers released CB Micah Robinson. (Source: Adam Schefter on Twitter),Fantasy Impact: Robinson loses his roster spot a week before the season. He'll likely seek another opportunity in a depth role.,Category: Transactions
Nick Niemann,"Mon, Sep 1st 2:57am EDT",The Packers signed LB Nick Niemann. (Source: Adam Schefter on Twitter),Fantasy Impact: Niemann was most recently with the Chargers. He'll enter the season in a depth role in the Packers linebacker room.,Category: Transactions
Thomas Morstead,"Mon, Sep 1st 2:55am EDT",The 49ers re-signed P Thomas Morstead. (Source: Adam Schefter on Twitter),Fantasy Impact: Morstead quickly lands back with San Francisco after he had been released. He'll remain with the 49ers to start the season.,Category: Transactions
Maxwell Hairston,"Mon, Sep 1st 2:54am EDT",Bills GM Brandon Beane said the team is hopeful Maxwell Hairston will be able to practice at first opportunity in Week 5. (Source: Joe Buscaglia on Twitter),Fantasy Impact: Hairston will open the season on injured reserve. He'll miss at least the first four games of the season as a result.,Category: Injury Updates
